name,solsource,donor,nvars,ncons,nbinvars,nintvars,nsemi,nnlvars,nnlbinvars,nnlintvars,nnlsemi,nboundedvars,nsingleboundedvars,nsos1,nsos2,objsense,nobjnz,nobjnlnz,njacobiannz,njacobiannlnz,nlaghessiannz,nlaghessiandiagnz,nobjquadnz,nobjquaddiagnz,nobjquadnegev,nobjquadposev,objtype,objcurvature,conscurvature,nconvexnlcons,nconcavenlcons,nindefinitenlcons,nlincons,nquadcons,ndiagquadcons,nlaghessianblocks,laghessianminblocksize,laghessianmaxblocksize,laghessianavgblocksize,solobjvalue,solinfeasibility,probtype,nlinfunc,nquadfunc,nnlfunc,nz,nlnz,ncontvars,convex,density,nldensity,objquaddensity,objquadproblevfrac
QPLIB_0688,,Maria Saumell,5788,22168,1964,0,0,3128,0,0,0,3128,0,0,0,max,3552,0,92143,41200,30560,0,0,0,0,0,linear,linear,indefinite,0,0,1600,20568,1600,0,160,11,20,19.55,,,LMQ,20569,1600,1600,95695,41200,3824,False,0.0007457866774061403,0.008232097186700767,0.0,0.0
QPLIB_0689,Solution found by SCIP,Maria Saumell,1868,10088,756,0,0,804,0,0,0,804,0,0,0,max,1340,0,32023,8568,6192,0,0,0,0,0,linear,linear,indefinite,0,0,288,9800,288,0,48,7,20,16.75,112.42,3.330669074e-16,LMQ,9801,288,288,33363,8568,1112,False,0.0017702724127853114,0.03700248756218905,0.0,0.0
QPLIB_0690,Solution found by ALPHAECP,Maria Saumell,16476,115600,6428,0,0,8688,0,0,0,8688,0,0,0,max,11859,0,407245,155360,109760,0,0,0,0,0,linear,linear,indefinite,0,0,3200,112400,3200,0,320,11,28,27.15,226.49,4.440892099e-16,LMQ,112401,3200,3200,419104,155360,10048,False,0.00022004344295500065,0.00558816758747698,0.0,0.0
QPLIB_0696,Solution found by ANTIGONE,MINLPLIB,394,423,187,0,0,130,0,0,0,130,0,0,0,min,364,0,2427,930,600,0,0,0,0,0,linear,linear,indefinite,0,0,33,390,33,0,10,13,13,13.0,1091160.649,7.275957614e-12,LMQ,391,33,33,2791,930,207,False,0.016706972512211475,0.21678321678321677,0.0,0.0
QPLIB_0698,Solution found by LINDO,MINLPLIB,118,141,55,0,0,28,0,0,0,28,0,0,0,min,106,0,633,156,96,0,0,0,0,0,linear,linear,indefinite,0,0,15,126,15,0,4,7,7,7.0,1086187.137,1.673470251e-10,LMQ,127,15,15,739,156,63,False,0.044103604678920987,0.37142857142857144,0.0,0.0
QPLIB_0752,Solution found by GUROBI,Nick Sahinidis,250,1,250,0,0,250,250,0,0,0,0,0,0,max,250,250,250,0,6248,20,3134,20,125,125,quadratic,indefinite,linear,0,0,0,1,0,0,1,250,250,250.0,24071.0,0.0,QBL,1,1,1,500,250,0,False,1.0,1.0,0.099968,0.5
QPLIB_0911,Solution found by SCIP,Nick Sahinidis,50,50,0,0,0,50,0,0,0,50,0,0,0,min,50,50,2500,2500,2500,50,650,38,22,28,quadratic,indefinite,indefinite,0,0,50,0,50,0,1,50,50,50.0,-32.14755832,0.0,QCQ,0,51,51,2550,2550,50,False,1.0,1.0,0.5048,0.44
QPLIB_0975,Solution found by ANTIGONE,Nick Sahinidis,50,10,0,0,0,50,0,0,0,50,0,0,0,min,50,50,500,500,2500,50,650,34,25,25,quadratic,indefinite,indefinite,0,0,10,0,10,0,1,50,50,50.0,-37.85351052,0.0,QCQ,0,11,11,550,550,50,False,1.0,1.0,0.5064,0.5
QPLIB_10001,Solution found by BARON,Pietro Belotti,485,296,426,0,0,485,426,0,0,59,0,0,0,min,426,0,1499,485,15359,485,0,0,0,0,linear,linear,convex,1,0,0,295,1,0,28,1,266,17.321429,-25766.82,0.0,LMC,296,1,1,1925,485,59,True,0.013363879343260786,1.0,0.0,0.0
QPLIB_10002,Solution found by BARON,Pietro Belotti,485,296,426,0,0,485,426,0,0,59,0,0,0,min,426,0,1499,485,15359,485,0,0,0,0,linear,linear,convex,1,0,0,295,1,0,28,1,266,17.321429,-21931.57,0.0,LMC,296,1,1,1925,485,59,True,0.013363879343260786,1.0,0.0,0.0
QPLIB_10003,Solution found by GUROBI,Pietro Belotti,1058,867,999,0,0,1058,999,0,0,59,0,0,0,min,999,0,3787,1058,101472,1058,0,0,0,0,linear,linear,convex,1,0,0,866,1,0,28,1,600,37.785714,-21944.87,0.0,LMC,867,1,1,4786,1058,59,True,0.005211554711524222,1.0,0.0,0.0
QPLIB_10004,Solution found by BARON,Pietro Belotti,400,101,150,0,0,400,150,0,0,250,0,0,0,min,150,0,748,400,102108,400,0,0,0,0,linear,linear,convex,1,0,0,100,1,0,1,400,400,400.0,-2588.21,0.0,LMC,101,1,1,898,400,250,True,0.02200980392156863,1.0,0.0,0.0
QPLIB_10005,Solution found by GUROBI,Pietro Belotti,2000,794,1000,0,0,2000,1000,0,0,1000,0,0,0,min,1000,0,4584,2000,1825420,2000,0,0,0,0,linear,linear,convex,1,0,0,793,1,0,1,2000,2000,2000.0,-9820.91,0.0,LMC,794,1,1,5584,2000,1000,True,0.0035119496855345912,1.0,0.0,0.0
QPLIB_10006,Solution found by GUROBI,Pietro Belotti,3125,1490,1875,0,0,3125,1875,0,0,1250,0,0,0,min,1875,0,7976,3125,6032793,3125,0,0,0,0,linear,linear,convex,1,0,0,1489,1,0,28,1,3092,111.607143,-12527.2,0.0,LMC,1490,1,1,9851,3125,1250,True,0.0021142320590207915,1.0,0.0,0.0
QPLIB_10007,Solution found by GUROBI,Pietro Belotti,4375,2087,2625,0,0,4375,2625,0,0,1750,0,0,0,min,2625,0,11170,4375,10856225,4375,0,0,0,0,linear,linear,convex,1,0,0,2086,1,0,41,1,4327,106.707317,-17869.72,0.0,LMC,2087,1,1,13795,4375,1750,True,0.0015101258894362343,1.0,0.0,0.0
QPLIB_10008,Solution found by BARON,Pietro Belotti,845,416,713,0,0,845,713,0,0,132,0,0,0,min,713,0,2386,845,23923,845,0,0,0,0,linear,linear,convex,1,0,0,415,1,0,158,1,683,5.348101,-23176.19,0.0,LMC,416,1,1,3099,845,132,True,0.008794857605040228,1.0,0.0,0.0
QPLIB_10009,Solution found by BARON,Pietro Belotti,605,246,473,0,0,605,473,0,0,132,0,0,0,min,473,0,1566,605,12205,605,0,0,0,0,linear,linear,convex,1,0,0,245,1,0,193,1,349,3.134715,-23176.19,0.0,LMC,246,1,1,2039,605,132,True,0.013644728477264362,1.0,0.0,0.0
QPLIB_10010,Solution found by BARON,Pietro Belotti,269,147,262,0,0,269,262,0,0,7,0,0,0,min,262,0,821,269,6287,269,0,0,0,0,linear,linear,convex,1,0,0,146,1,0,17,1,165,15.823529,-23003.31,0.0,LMC,147,1,1,1083,269,7,True,0.02720285341103185,1.0,0.0,0.0
QPLIB_10011,Solution found by BARON,Pietro Belotti,1390,873,1258,0,0,1390,1258,0,0,132,0,0,0,min,1258,0,4390,1390,65674,1390,0,0,0,0,linear,linear,convex,1,0,0,872,1,0,130,1,1249,10.692308,-23176.19,0.0,LMC,873,1,1,5648,1390,132,True,0.0046490953690137135,1.0,0.0,0.0
QPLIB_10012,Solution found by BARON,Pietro Belotti,967,538,835,0,0,967,835,0,0,132,0,0,0,min,835,0,2874,967,34763,967,0,0,0,0,linear,linear,convex,1,0,0,537,1,0,158,1,804,6.120253,-23176.19,0.0,LMC,538,1,1,3709,967,132,True,0.007116092653099596,1.0,0.0,0.0
QPLIB_10013,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,21706,59568,3600,0,0,10800,0,0,0,0,3600,0,0,min,14400,0,169943,10800,10800,10800,0,0,0,0,linear,linear,indefinite,0,0,3600,55968,3600,3600,10800,1,1,1.0,27642056.81,3.618652045e-10,LMQ,55969,3600,3600,184343,10800,18106,False,0.00014256947248840425,0.0002777777777777778,0.0,0.0
QPLIB_10014,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,21713,59434,3600,0,0,10800,0,0,0,0,3600,0,0,min,14400,0,169512,10800,10800,10800,0,0,0,0,linear,linear,indefinite,0,0,3600,55834,3600,3600,10800,1,1,1.0,25579413.86,5.820766091e-11,LMQ,55835,3600,3600,183912,10800,18113,False,0.00014251086228629905,0.0002777777777777778,0.0,0.0
QPLIB_10015,Solution found by ALPHAECP,Fabio Furini and Antonio Frangioni,27127,53683,3600,0,0,10800,0,0,0,0,3600,0,0,min,14400,0,156000,10800,10800,10800,0,0,0,0,linear,linear,indefinite,0,0,3600,50083,3600,3600,10800,1,1,1.0,27069722.86,5.820766091e-11,LMQ,50084,3600,3600,170400,10800,23527,False,0.00011700999353514293,0.0002777777777777778,0.0,0.0
QPLIB_10016,Solution found by CPLEX,Fabio Furini and Antonio Frangioni,27124,54027,3600,0,0,10800,0,0,0,0,3600,0,0,min,14400,0,157098,10800,10800,10800,0,0,0,0,linear,linear,indefinite,0,0,3600,50427,3600,3600,10800,1,1,1.0,29934289.13,1.164153218e-10,LMQ,50428,3600,3600,171498,10800,23524,False,0.00011702709722455491,0.0002777777777777778,0.0,0.0
QPLIB_10017,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,28949,79251,4800,0,0,14400,0,0,0,0,4800,0,0,min,19200,0,226138,14400,14400,14400,0,0,0,0,linear,linear,indefinite,0,0,4800,74451,4800,4800,14400,1,1,1.0,31154937.63,1.164153218e-10,LMQ,74452,4800,4800,245338,14400,24149,False,0.00010693528308120249,0.00020833333333333335,0.0,0.0
QPLIB_10018,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,28945,80093,4800,0,0,14400,0,0,0,0,4800,0,0,min,19200,0,228711,14400,14400,14400,0,0,0,0,linear,linear,indefinite,0,0,4800,75293,4800,4800,14400,1,1,1.0,34222560.14,5.820766091e-11,LMQ,75294,4800,4800,247911,14400,24145,False,0.00010693558751313984,0.00020833333333333335,0.0,0.0
QPLIB_10019,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,36170,71284,4800,0,0,14400,0,0,0,0,4800,0,0,min,19200,0,207160,14400,14400,14400,0,0,0,0,linear,linear,indefinite,0,0,4800,66484,4800,4800,14400,1,1,1.0,40389511.78,2.910383046e-11,LMQ,66485,4800,4800,226360,14400,31370,False,8.779161181710932e-05,0.00020833333333333335,0.0,0.0
QPLIB_10020,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,36172,71712,4800,0,0,14400,0,0,0,0,4800,0,0,min,19200,0,208401,14400,14400,14400,0,0,0,0,linear,linear,indefinite,0,0,4800,66912,4800,4800,14400,1,1,1.0,33161690.23,1.250270998e-10,LMQ,66913,4800,4800,227601,14400,31372,False,8.774123697536598e-05,0.00020833333333333335,0.0,0.0
QPLIB_10021,Solution found by CPLEX,Fabio Furini and Antonio Frangioni,15000,12155,3000,0,0,9000,0,0,0,3000,0,0,0,min,9000,0,39000,9000,9000,9000,0,0,0,0,linear,linear,indefinite,0,0,3000,9155,3000,3000,9000,1,1,1.0,305256.2943,2.328306437e-10,LMQ,9156,3000,3000,48000,9000,12000,False,0.00026324448831852585,0.0003333333333333333,0.0,0.0
QPLIB_10022,Solution submitted by Gioni Mexi,Fabio Furini and Antonio Frangioni,15000,12155,3000,0,0,9000,0,0,0,3000,0,0,0,min,9000,0,39000,9000,9000,9000,0,0,0,0,linear,linear,indefinite,0,0,3000,9155,3000,3000,9000,1,1,1.0,1348095.635,1.490116119e-08,LMQ,9156,3000,3000,48000,9000,12000,False,0.00026324448831852585,0.0003333333333333333,0.0,0.0
QPLIB_10023,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,15000,12155,3000,0,0,9000,0,0,0,3000,0,0,0,min,9000,0,39000,9000,9000,9000,0,0,0,0,linear,linear,indefinite,0,0,3000,9155,3000,3000,9000,1,1,1.0,721348.9732,1.164153218e-10,LMQ,9156,3000,3000,48000,9000,12000,False,0.00026324448831852585,0.0003333333333333333,0.0,0.0
QPLIB_10024,Solution found by SCIP,Fabio Furini and Antonio Frangioni,15000,12089,3000,0,0,9000,0,0,0,3000,0,0,0,min,9000,0,39000,9000,9000,9000,0,0,0,0,linear,linear,indefinite,0,0,3000,9089,3000,3000,9000,1,1,1.0,115311.7109,2.910383046e-11,LMQ,9090,3000,3000,48000,9000,12000,False,0.00026468155500413565,0.0003333333333333333,0.0,0.0
QPLIB_10025,Solution found by CPLEX,Fabio Furini and Antonio Frangioni,2000,2003,400,0,0,1200,0,0,0,0,400,0,0,min,800,400,6400,1200,160800,1200,80200,400,0,400,quadratic,convex,indefinite,0,0,400,1603,400,400,801,1,400,1.498127,128.9160937,3.552713679e-15,CMQ,1603,401,401,7200,1600,1600,False,0.0017964071856287425,0.0033250207813798837,1.0,0.0
QPLIB_10026,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,2000,2003,400,0,0,1200,0,0,0,0,400,0,0,min,800,400,6400,1200,160800,1200,80200,400,0,400,quadratic,convex,indefinite,0,0,400,1603,400,400,801,1,400,1.498127,143.8460104,3.929536135e-11,CMQ,1603,401,401,7200,1600,1600,False,0.0017964071856287425,0.0033250207813798837,1.0,0.0
QPLIB_10027,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,2000,2003,400,0,0,1200,0,0,0,0,400,0,0,min,800,400,6400,1200,160800,1200,80200,400,0,400,quadratic,convex,indefinite,0,0,400,1603,400,400,801,1,400,1.498127,130.5620185,2.960511836e-10,CMQ,1603,401,401,7200,1600,1600,False,0.0017964071856287425,0.0033250207813798837,1.0,0.0
QPLIB_10028,Solution found by GUROBI,Fabio Furini and Antonio Frangioni,2000,2003,400,0,0,1200,0,0,0,0,400,0,0,min,800,400,6400,1200,160800,1200,80200,400,0,400,quadratic,convex,indefinite,0,0,400,1603,400,400,801,1,400,1.498127,125.061293,3.552713679e-15,CMQ,1603,401,401,7200,1600,1600,False,0.0017964071856287425,0.0033250207813798837,1.0,0.0
QPLIB_10029,Solution found by CPLEX,Fabio Furini and Antonio Frangioni,2000,2003,400,0,0,1200,0,0,0,0,400,0,0,min,800,400,6400,1200,160800,1200,80200,400,0,400,quadratic,convex,indefinite,0,0,400,1603,400,400,801,1,400,1.498127,133.9004219,1.065814104e-14,CMQ,1603,401,401,7200,1600,1600,False,0.0017964071856287425,0.0033250207813798837,1.0,0.0
QPLIB_10030,Solution found by CPLEX,Fabio Furini and Antonio Frangioni,15000,12001,3000,0,0,9000,0,0,0,0,3000,0,0,min,6000,0,36000,9000,9000,9000,0,0,0,0,linear,linear,indefinite,0,0,3000,9001,3000,3000,9000,1,1,1.0,14509419100.0,1.818989404e-12,LMQ,9002,3000,3000,42000,9000,12000,False,0.00023329445092484585,0.0003333333333333333,0.0,0.0
QPLIB_10031,Solution found by CPLEX,Fabio Furini and Antonio Frangioni,15000,12001,3000,0,0,9000,0,0,0,0,3000,0,0,min,6000,0,36000,9000,9000,9000,0,0,0,0,linear,linear,indefinite,0,0,3000,9001,3000,3000,9000,1,1,1.0,14426129190.0,4.547473509e-13,LMQ,9002,3000,3000,42000,9000,12000,False,0.00023329445092484585,0.0003333333333333333,0.0,0.0
QPLIB_10032,Solution found by LINDO,Fabio Furini and Antonio Frangioni,15000,12001,3000,0,0,9000,0,0,0,0,3000,0,0,min,6000,0,36000,9000,9000,9000,0,0,0,0,linear,linear,indefinite,0,0,3000,9001,3000,3000,9000,1,1,1.0,14465998210.0,9.094947018e-13,LMQ,9002,3000,3000,42000,9000,12000,False,0.00023329445092484585,0.0003333333333333333,0.0,0.0
QPLIB_10033,Solution found by BARON,Fabio Furini and Antonio Frangioni,15000,12001,3000,0,0,9000,0,0,0,0,3000,0,0,min,6000,0,36000,9000,9000,9000,0,0,0,0,linear,linear,indefinite,0,0,3000,9001,3000,3000,9000,1,1,1.0,14487197690.0,5.006768333e-10,LMQ,9002,3000,3000,42000,9000,12000,False,0.00023329445092484585,0.0003333333333333333,0.0,0.0
QPLIB_10034,Solution found by SCIP,Hans Mittelmann,40400,40200,0,0,0,401,0,0,0,401,0,0,0,min,401,401,239603,0,401,401,401,401,0,401,quadratic,convex,linear,0,0,0,40200,0,0,401,1,1,1.0,-0.06601017605,1.273292582e-11,DCL,40200,1,1,240004,401,40400,True,0.00014777475857085472,1.0,0.0024937655860349127,0.0
QPLIB_10035,Solution found by BARON,Hans Mittelmann,40401,40201,0,0,0,600,0,0,0,600,0,0,0,min,1,0,240005,601,600,600,0,0,0,0,linear,linear,indefinite,1,0,200,40000,201,201,600,1,1,1.0,0.0005420935803,9.3157837e-10,LCQ,40001,201,201,240006,601,40401,False,0.00014776865652986465,0.0049834162520729685,0.0,0.0
QPLIB_10036,Solution found by COUENNE,Hans Mittelmann,40401,40201,0,0,0,600,0,0,0,600,0,0,0,min,1,0,240005,601,600,600,0,0,0,0,linear,linear,indefinite,1,0,200,40000,201,201,600,1,1,1.0,0.06666666666,0.0,LCQ,40001,201,201,240006,601,40401,False,0.00014776865652986465,0.0049834162520729685,0.0,0.0
QPLIB_10037,Solution found by SCIP,Hans Mittelmann,40401,40201,0,0,0,40400,0,0,0,200,0,0,0,min,1,0,240005,238804,239800,600,0,0,0,0,linear,linear,indefinite,1,0,40000,200,40001,201,201,1,40200,200.995025,0.06637131601,1.397146288e-14,LCQ,201,40001,40001,240006,238804,40401,False,0.00014776865652986465,0.00014777105819879257,0.0,0.0
QPLIB_10038,Solution found by SCIP,Hans Mittelmann,160800,160400,0,0,0,801,0,0,0,801,0,0,0,min,801,801,959203,0,801,801,801,801,0,801,quadratic,convex,linear,0,0,0,160400,0,0,801,1,1,1.0,0.0,0.0,DCL,160400,1,1,960004,801,160800,True,3.7220304919253834e-05,1.0,0.0012484394506866417,0.0
QPLIB_10039,Solution found by ANTIGONE,Hans Mittelmann,12097,11906,0,0,0,12096,0,0,0,192,0,0,0,min,1,0,94285,12288,12096,12096,0,0,0,0,linear,linear,indefinite,0,0,193,11713,193,193,12096,1,1,1.0,2.316338609,1.87771465e-11,LCQ,11714,193,193,94286,12288,12097,False,0.0006545867004514105,0.005263590755818735,0.0,0.0
QPLIB_10040,Solution found by SCIP,Andrea Lodi,125,6,125,0,0,125,125,0,0,0,0,0,0,min,125,125,750,0,14473,125,7299,125,11,114,quadratic,indefinite,linear,0,0,0,6,0,0,2,1,124,62.5,-0.0,0.0,QBL,6,1,1,875,125,0,False,1.0,1.0,0.926272,0.088
QPLIB_10041,Solution found by SCIP,Andrea Lodi,125,6,125,0,0,124,124,0,0,0,0,0,0,min,124,124,750,0,15354,124,7739,124,5,25,quadratic,indefinite,linear,0,0,0,6,0,0,1,124,124,124.0,-0.0,0.0,QBL,6,1,1,874,124,0,False,0.9988571428571429,1.0,0.9985691987513007,0.04
QPLIB_10042,Solution found by BARON,Andrea Lodi,125,5,125,0,0,124,124,0,0,0,0,0,0,min,125,124,625,0,15362,124,7743,124,1,123,quadratic,indefinite,linear,0,0,0,5,0,0,1,124,124,124.0,-20.8819262,0.0,QBL,5,1,1,750,124,0,False,1.0,1.0,0.9990894901144641,0.008
QPLIB_10043,Solution found by SCIP,Andrea Lodi,150,10,150,0,0,148,148,0,0,0,0,0,0,min,148,148,1498,0,21174,148,10661,148,7,141,quadratic,indefinite,linear,0,0,0,10,0,0,1,148,148,148.0,-0.0,0.0,QBL,10,1,1,1646,148,0,False,0.9975757575757576,1.0,0.966672753834916,0.04666666666666667
QPLIB_10044,Solution found by CPLEX,Andrea Lodi,150,6,150,0,0,148,148,0,0,0,0,0,0,min,150,148,900,0,21246,148,10697,148,12,136,quadratic,indefinite,linear,0,0,0,6,0,0,3,1,146,49.333333,-7.868866549,0.0,QBL,6,1,1,1050,148,0,False,1.0,1.0,0.9699598246895544,0.08
QPLIB_10045,Solution found by SCIP,Andrea Lodi,150,10,150,0,0,143,143,0,0,0,0,0,0,min,143,143,1498,0,20325,143,10234,143,13,130,quadratic,indefinite,linear,0,0,0,10,0,0,1,143,143,143.0,-0.0,0.0,QBL,10,1,1,1641,143,0,False,0.9945454545454545,1.0,0.9939361337962737,0.08666666666666667
QPLIB_10046,Solution found by SCIP,Andrea Lodi,150,6,150,0,0,147,147,0,0,0,0,0,0,min,150,147,900,0,19897,147,10022,147,1,146,quadratic,indefinite,linear,0,0,0,6,0,0,4,1,144,36.75,-0.7127002361,0.0,QBL,6,1,1,1050,147,0,False,1.0,1.0,0.9207737516775417,0.006666666666666667
QPLIB_10047,Solution found by SCIP,Andrea Lodi,150,10,150,0,0,150,150,0,0,0,0,0,0,min,150,150,1498,0,22486,150,11318,150,7,76,quadratic,indefinite,linear,0,0,0,10,0,0,1,150,150,150.0,-0.0,0.0,QBL,10,1,1,1648,150,0,False,0.9987878787878788,1.0,0.9993777777777778,0.04666666666666667
QPLIB_10048,Solution found by CPLEX,Andrea Lodi,150,5,150,0,0,149,149,0,0,0,0,0,0,min,150,149,750,0,22185,149,11167,149,2,77,quadratic,indefinite,linear,0,0,0,5,0,0,1,149,149,149.0,-13.56267356,0.0,QBL,5,1,1,900,149,0,False,1.0,1.0,0.9992793117427143,0.013333333333333334
QPLIB_10049,Solution found by SCIP,Andrea Lodi,150,10,150,0,0,149,149,0,0,0,0,0,0,min,149,149,1498,0,22185,149,11167,149,4,71,quadratic,indefinite,linear,0,0,0,10,0,0,1,149,149,149.0,-0.0,0.0,QBL,10,1,1,1647,149,0,False,0.9981818181818182,1.0,0.9992793117427143,0.02666666666666667
QPLIB_10050,Solution found by CPLEX,Andrea Lodi,150,5,150,0,0,148,148,0,0,0,0,0,0,min,150,148,750,0,21904,148,11026,148,0,36,quadratic,convex,linear,0,0,0,5,0,0,1,148,148,148.0,-25.69766163,0.0,CBL,5,1,1,900,148,0,True,1.0,1.0,1.0,0.0
QPLIB_10051,Solution found by SCIP,Andrea Lodi,150,10,150,0,0,149,149,0,0,0,0,0,0,min,149,149,1498,0,22179,149,11164,149,3,40,quadratic,indefinite,linear,0,0,0,10,0,0,1,149,149,149.0,-0.0,0.0,QBL,10,1,1,1647,149,0,False,0.9981818181818182,1.0,0.9990090536462322,0.02
QPLIB_10052,Solution found by CPLEX,Andrea Lodi,150,6,150,0,0,150,150,0,0,0,0,0,0,min,150,150,900,0,22480,150,11315,150,2,148,quadratic,indefinite,linear,0,0,0,6,0,0,1,150,150,150.0,-11.81057614,0.0,QBL,6,1,1,1050,150,0,False,1.0,1.0,0.9991111111111111,0.013333333333333334
QPLIB_10053,Solution found by SCIP,Andrea Lodi,150,10,150,0,0,149,149,0,0,0,0,0,0,min,149,149,1498,0,22187,149,11168,149,1,148,quadratic,indefinite,linear,0,0,0,10,0,0,1,149,149,149.0,-0.0,0.0,QBL,10,1,1,1647,149,0,False,0.9981818181818182,1.0,0.999369397774875,0.006666666666666667
