name,image,status,detail,variables,binaries,integers,continuous,constraints,instance_digest,manifest_digest,source_qplib_digest
QPLIB_10001,ghcr.io/jij-inc/ommx/v2.8/qplib:10001,published,,485,426,0,59,297,sha256:3e45d4984cfe94c6d9168d36c2805583504c7bfa9c2c88e67f09144f66bb4c61,sha256:b960f344aee582aa9cb7b12829d413e02ae2479603a2bca40443c7844c6b85f9,sha256:a463c40dbe4051e760508cda7241a8d705f3d529e75437878695fa9c806e5e4a
QPLIB_10002,ghcr.io/jij-inc/ommx/v2.8/qplib:10002,published,,485,426,0,59,297,sha256:f682cf1a2175cdb5c2bb4c8e3657931037fe5f8ec8fb269e74d21ac6593838a9,sha256:5765ecca99137e2c54f17707a45511fe659774e7766a31c77f3064351f3f7a0b,sha256:398b7f387a5b0e6f322e5724d2036e12471dd49c5149f6740f299e4023518df3
QPLIB_10003,ghcr.io/jij-inc/ommx/v2.8/qplib:10003,published,,1058,999,0,59,868,sha256:9c6ae4178bce45d1975fa8d0f7f22ea2a564df98034ed680f20e1fdb21616699,sha256:e5d6f9a80426c54a89990dbd72306aaae7714a136bcac141eb5f3536e049a3fb,sha256:d414589e5aaa0a44093c3d785d09f45286e5381ccfa3838920781ecc9f7ce79d
QPLIB_10004,ghcr.io/jij-inc/ommx/v2.8/qplib:10004,published,,400,150,0,250,102,sha256:b8b93eee03e0b83a8bad3befb1029c922369528585f7d1705fe97e1177427c30,sha256:55c41f8decaea362cd22e813a9d6021bc548da7041944118b6d36608d238419a,sha256:bcdbb1359dc7b9bab0cd2cef28a1c4a6a41b40dc04f6430cf7e839db81326e0e
QPLIB_10005,ghcr.io/jij-inc/ommx/v2.8/qplib:10005,published,,2000,1000,0,1000,795,sha256:1b088ce5ee232e9693956c8b82292d1ad687de5fcf0ece21995b7e46a09fb0c3,sha256:d0fd65a7ad6d3f6f467792d681778574fb656cff28a4d7dd364c5445efe85f30,sha256:e2b9bdb8fa4af20bc9e1dd42f57dfdce2b931be6e12c57e6e0800f0f7c7ba30c
QPLIB_10006,ghcr.io/jij-inc/ommx/v2.8/qplib:10006,published,,3125,1875,0,1250,1491,sha256:114bb577c662e46001be5e848e69aa3aca12f7cf9adf9682740ca2ec07c35ee3,sha256:35a9a3a05310bdda937094f935a0c820cd137fd1b414fe0f49582f80a3e6eef1,sha256:3e55f786dab51636ef373a7b9be0b174abf9f6c241d36dd553d0d4b5bfffcfa3
QPLIB_10007,ghcr.io/jij-inc/ommx/v2.8/qplib:10007,published,,4375,2625,0,1750,2088,sha256:583e65287a09b651e541a72f9456908fa391c1ccac657b6b9e503372c36cae5f,sha256:a2e38c99f2cc4698c4dd4cdaee3e5bc494836117b445a66593a7fda1033865c3,sha256:feadd10b34170c4bafc6a2c2640b0c3e64708a6562aa15d8272bdf578dee01cf
QPLIB_10008,ghcr.io/jij-inc/ommx/v2.8/qplib:10008,published,,845,713,0,132,417,sha256:b24fd5ab45827f6bed342ea9fef095e409b48ce6291e505b820d746ae1db132e,sha256:4271fb22a5def4ec95f59cfbf1dceccbbc2b650aebb3d9a9d750312b10f68a04,sha256:9745f7003d148f91d053927dc385aab3ee14d0d495c86ca70501cefce5f1386b
QPLIB_10009,ghcr.io/jij-inc/ommx/v2.8/qplib:10009,published,,605,473,0,132,247,sha256:95554a33a183f921868c42dc997e00d5a56585ef359357709a610e44c2303aac,sha256:d3642b37884a0eb75199209dc288327b7e55cec554e01afad7e394180aa9f816,sha256:cd3708f64eea9e2ca07909a5ce0c4cfce5f86a69451a49a6f70a160578d4b053
QPLIB_10010,ghcr.io/jij-inc/ommx/v2.8/qplib:10010,published,,269,262,0,7,148,sha256:61226604ab2c8a50a46dfdc61b1a660683f7d17c12502ab75a789556ca0562fb,sha256:ee57a73ec515bf890928f858cd342e4028c50f66170706de3ba9c3d2aa64734e,sha256:642f7ab7a526a58a14c4144bdab5e902d9bc5cccdac0a10cf27722a76a685b96
QPLIB_10011,ghcr.io/jij-inc/ommx/v2.8/qplib:10011,published,,1390,1258,0,132,874,sha256:2213a16f53624d0033ddb11bf2af3a7360cd8073c43a052bdf37529c7549472d,sha256:12286749646443c1d955b9e08d3f7482d08ddd3b3d80227fc1cf6c34049ff520,sha256:5d307dcab8fef7d3b40010d5bb5ea2980fadfffd2f55d54f4369b129d142334a
QPLIB_10012,ghcr.io/jij-inc/ommx/v2.8/qplib:10012,published,,967,835,0,132,539,sha256:eb010ba0d180fa6da8196cd6128f35e6171baf740e8a31fddfc1554d98c6ff6b,sha256:2b165b264f81478e6952c8cc0905bab42849403a9f050aa1dfdcf590d492c360,sha256:44e40511b545e5ce6d26deab4648b14a53f29bfd5d70ecbb61f2ba935e4758b5
QPLIB_10013,ghcr.io/jij-inc/ommx/v2.8/qplib:10013,published,,21706,3600,0,18106,67368,sha256:f69134c475b42132d9d9b1e31e16ffcd98a56f70bcf550c8b5cd825ff09d29e7,sha256:d96cf2e6e9b3f4f8d031c5a3d3e26c38d648056a758d8137cb904c862115be45,sha256:e418508785844afb7a0c0a228923f3ede9eb2706bd7d6b0eea6dd856b6a126af
QPLIB_10014,ghcr.io/jij-inc/ommx/v2.8/qplib:10014,published,,21713,3600,0,18113,67248,sha256:a5b579ce08a5b26c322d3e5373b44853cd2f17d645c0e666b3db76526e034ce4,sha256:a91925fbe8257e884b4776aab84f4973d13b4c7f72a8dde804079f537d1abc30,sha256:0de0a5d951f0e9d4685abb472a01324d4b4b03aa5543f7a1e6564034a0502b6b
QPLIB_10015,ghcr.io/jij-inc/ommx/v2.8/qplib:10015,published,,27127,3600,0,23527,63163,sha256:14638ba6ab9b592ad71865c28d0e8c49b82961d0785addbba602f6b13d604a8d,sha256:64669320e628bf5ce04601e2790ddacdc28afb3c126d15eef90e6a3d8d6ba226,sha256:a8f5936112f02b36dfdbaf5d916713f44cdca2b8894b7bacdcf2341eee4a3bbd
QPLIB_10016,ghcr.io/jij-inc/ommx/v2.8/qplib:10016,published,,27124,3600,0,23524,63472,sha256:08458356ab95bb18352fe62ac508329999e06452895924e8ae5d3abdc44f84ca,sha256:dd3586518adda081282cb57a70913784b953e5e085d572ce039ecac23003bef8,sha256:91aeed30b633872e95401f792012b708a5ab4afdb0694be89f5d975a77998a42
QPLIB_10017,ghcr.io/jij-inc/ommx/v2.8/qplib:10017,published,,28949,4800,0,24149,89608,sha256:bef61281b6c6ecd5a6fc8807bd37d8493609e0df7bbc6b6a8af9ff2fbaab0a8c,sha256:cc53366fb2eacfe8d85dc47c7f1afdffbb9aab49750c619a30dd5b5de110e235,sha256:1bf1d7f6292baead4ca6d6dc9a5396714df47495d08440562fa1f5bc862acc9c
QPLIB_10018,ghcr.io/jij-inc/ommx/v2.8/qplib:10018,published,,28945,4800,0,24145,90439,sha256:aa2a115fa899a5c501e2db66cc40187cfb485e23bebe12999f98eacb42b8651b,sha256:05eeda1020797a0bcd36a3a0d152ff10f18775ad67158e8300a6e2620e87301e,sha256:fb782ff8426e2373f9030b76da37fd56128ae34da41c3dd4b4393f14bd0c6017
QPLIB_10019,ghcr.io/jij-inc/ommx/v2.8/qplib:10019,published,,36170,4800,0,31370,83918,sha256:aa719d6db5e558fd18de933cc02c80311a3fc55ed92021c06bcc570c11bbbfb8,sha256:f92da685daf00e1e49c569fa92ab97d0835fdda532eec6fc1751cb94a3288638,sha256:b2f7575c8588b7ac295380c45c2468b3b2253e11bb8b4562a92ab09b77a6c84a
QPLIB_10020,ghcr.io/jij-inc/ommx/v2.8/qplib:10020,published,,36172,4800,0,31372,84367,sha256:d1b69dcfef0e09f45402139169884da58eb9eca6100692be5c892a99c7d741da,sha256:b3f5cbe686c98886dd65f74c66d0db99f1da0da33ae82d18917b78daf554dc46,sha256:7e50e7282d5cebdde840ceeca2f0d811faa72a03e85be0cbc01a2979c0f7262c
QPLIB_10021,ghcr.io/jij-inc/ommx/v2.8/qplib:10021,published,,15000,3000,0,12000,18310,sha256:3ad0585643dac19a57755e6edfac05381b7b1e54e43b8c6b1b5ef3470fa56788,sha256:9d9e59fbb43fc4bb9b847cf7f4b3519ef1c6271453db7a8b9f74f1d95bad3dba,sha256:b12e8d08d09a54aff37af1420582a1c2fac2b2c43a5e4b13407e32b4121dee9f
QPLIB_10022,ghcr.io/jij-inc/ommx/v2.8/qplib:10022,published,,15000,3000,0,12000,18310,sha256:e7165ff4e0c179d01c53be44f816a2de10c5d75e4432c2660b0d3a2066d127db,sha256:9ca2e9b68715930d1526bef343fb3cea42b97a78574e83ab20a10ff0713dd58e,sha256:f13f009f86714b4259e1bea2cc21015c09fa1ef78bb4523cddd24115e7af41f9
QPLIB_10023,ghcr.io/jij-inc/ommx/v2.8/qplib:10023,published,,15000,3000,0,12000,18310,sha256:1248249439aa5227e35ec960249c6b5587b85a842242a79d79fd1c3bc73bae6c,sha256:7a52bf341688444617d18b1c73495476f3900217ef94c2be4419a743ada7f468,sha256:c3e953cefcd4c09ac1dfd67f68acc796cf79b9955df60cd082c36ffd3a8be237
QPLIB_10024,ghcr.io/jij-inc/ommx/v2.8/qplib:10024,published,,15000,3000,0,12000,18178,sha256:75770b3b2a94fc1261f23d0917c2cd2007c9fa25ebe272846f37718e8fde22a4,sha256:675b4c449cad5f3a18ee40b060eb171158923461ea40900c4e9efb58455aedec,sha256:4febea0b4197c92168688ac979d189fa87de9c47237658461021113863bf1367
QPLIB_10025,ghcr.io/jij-inc/ommx/v2.8/qplib:10025,published,,2000,400,0,1600,2804,sha256:782be272ecdec7aad73b5637192be317dcd6aaa0d72347c3152f67ce77d2da4a,sha256:5cefb8c32c85b40a76a4075b9e9c8d5dadc0fe55415de72d4e121eb6a38a15ca,sha256:4bde358d4f6560bda7644cbb5e941b0e99eb0719c4ba25ccfe9f7135af4ab59c
QPLIB_10026,ghcr.io/jij-inc/ommx/v2.8/qplib:10026,published,,2000,400,0,1600,2804,sha256:86a1755bc6edd8b1706f12e7dd9d4ff04cc4896fda2fd61c250ecf0aec3f8756,sha256:62d12eb5e74e73d4349e5bad3ab85503f68f5c386987eeae45d62c6beda83332,sha256:ae901390c2380ef56bbe0708905f5221a87b5322147acc84171bbc45de29d6c7
QPLIB_10027,ghcr.io/jij-inc/ommx/v2.8/qplib:10027,published,,2000,400,0,1600,2804,sha256:ee16604becc4b0937ec4704833f6f1da1b2090a7fab8eedd23dd1d3403694440,sha256:45c7a1822bb56579f425ec43386c1ac1f7cc6b2b1f1a2066e2b6ae7c63e39fa1,sha256:42d5eefbaaebca5707678e6207219ec55b48419449c3546c1f0dd6252e6ba264
QPLIB_10028,ghcr.io/jij-inc/ommx/v2.8/qplib:10028,published,,2000,400,0,1600,2804,sha256:ce4e58400655c9617c97e36e31d0dc82427e5a291c490cc514f4916223a38c9d,sha256:93f4dd42e135a1ac9a617f9c32ea303afcf7e44829e43b5718ae612cef4f47ff,sha256:11d1ae0ac446cfac3510a0e6665122888ecece1c80c231c9b06777850be3fcb0
QPLIB_10029,ghcr.io/jij-inc/ommx/v2.8/qplib:10029,published,,2000,400,0,1600,2804,sha256:579d853a16c36f34569bc77d50ff46c5bf6df2e8c2ab65958471a8d98bc33511,sha256:3840a2cfdda68dbc4e5a051188565ceea30a0168dd3e14e26ce1920b9b80e3c5,sha256:df9f0d150a6f7598c53972e0e2aa2a71c706e69da2bb0f513e3e0a03e772c0c0
QPLIB_10030,ghcr.io/jij-inc/ommx/v2.8/qplib:10030,published,,15000,3000,0,12000,18002,sha256:d7eb54e8443ab4e790c271561e0dcbf685f4b423583b1ceb1d046590737c8acf,sha256:9d8af26b863a615390301bc30da9763593de3737ddc74735f4880d91908485d2,sha256:3fa6339941c9030542dd84de49136b8f00d8266e7bac1761f833b59490aa9236
QPLIB_10031,ghcr.io/jij-inc/ommx/v2.8/qplib:10031,published,,15000,3000,0,12000,18002,sha256:115786780b264196b3b6a981efb3a14885c3f607e50131f471b3d3cafd9c3a5f,sha256:49c93dcf79fdb41a821ed48090dbdebf7d789fca59759182702f02851bba38e0,sha256:225595bbcc698c1f2c8d61a8b92b2ef42e34143a6ffccf668464cd43976c5a49
QPLIB_10032,ghcr.io/jij-inc/ommx/v2.8/qplib:10032,published,,15000,3000,0,12000,18002,sha256:f9940e7fae01f51f7a5d2cef013ffd85aa2844ada0e72b04cc0767f3ef28e7f2,sha256:32aa0ceacc8357eb8a82c83f6c7dde98e192a2a892dc4628c7f5583ca2f5ee6e,sha256:52c30e6bed60c172314d56a1d18a347cab34b24a28935d5a3802a670451e9288
QPLIB_10033,ghcr.io/jij-inc/ommx/v2.8/qplib:10033,published,,15000,3000,0,12000,18002,sha256:d93ba75b04c3233f95e295ea3ee8c98adbb7c293968d70f4c8b98081759d75e2,sha256:7f2e621685625df8d2e2992c86bd888ea9f0c4b9da8c7fa72d394089a7ab6ac4,sha256:94ae283469948ca6687150d8779dde805019442bf31fecbeff3df2933eaf3062
QPLIB_10034,ghcr.io/jij-inc/ommx/v2.8/qplib:10034,published,,40400,0,0,40400,80400,sha256:5786ecd7ab2b8f979658d1400b935489d2c001673df4faea85d56ce0ddb54d45,sha256:39730c5beb376c35378cdfff9060b6d25ab4573616d18fd9ad78a87d045fe180,sha256:d5adc2d674eff19adf9f081efd65f154b46c9ac85844ea61fbbdea0177ecbba2
QPLIB_10035,ghcr.io/jij-inc/ommx/v2.8/qplib:10035,published,,40401,0,0,40401,80401,sha256:dbdc8e544173f05f6997ed61336f6f93e56e864bc1a4fa8545b0935f546b6fa8,sha256:ba4d04bcf3023cbb32bea90a0c8094b65656ee1bba100e16148daf1ae52053b0,sha256:ba56be8b6595b1bfbd6e1982826b6917da0aeef219ff18446d8fc23eaadb8e73
QPLIB_10036,ghcr.io/jij-inc/ommx/v2.8/qplib:10036,published,,40401,0,0,40401,80401,sha256:dfee294755d7ef1a13c64af80c3707cabd14b3f76233a97379b8ec78750decc4,sha256:8f585b81967715a0ca2722b21ad6f0cf4448628a07273ba876a66d9f8a1e5873,sha256:8942d9b3230caaa56ce5ad505c6f9968e80d0cbc1c18507544d457ea0cf11225
QPLIB_10037,ghcr.io/jij-inc/ommx/v2.8/qplib:10037,published,,40401,0,0,40401,80401,sha256:45bf029159aa4846c2c59f6f9f6b3785156aa0bc8c05059af2468b6108f0e1a1,sha256:1d4cc87cae86c2146d7377881fac65de7a7a86c3e9478211685e9ff50ac24dcb,sha256:0c5cc949fbd3363e22b28e675711c14ff845231bd7fc93d2646b99676abdbabe
QPLIB_10038,ghcr.io/jij-inc/ommx/v2.8/qplib:10038,published,,160800,0,0,160800,320800,sha256:71effe19fcfe5c78bc0e6495ca3b14da8504b0ed20f8d54e7aae591e575d0b61,sha256:91e2d9140c063801c66436d7698ea9a9f026a7368cca326ae5a2005177ecf760,sha256:266a46cad0f274f9e2bf319d4a5f95d795f9ece45c94788f662fa3d5635ad9b6
QPLIB_10039,ghcr.io/jij-inc/ommx/v2.8/qplib:10039,published,,12097,0,0,12097,23810,sha256:568e9cbd33a5787a9f1b59be5b23f888cb7458fcc8bf8eb24c6518773fff2df3,sha256:e95e70ace38c71ce4721e21299b0978ed5314ac6b0341ae403ef77e515b7545f,sha256:8ecbeb5a0e8511410147b06b51ce4698f5dd4813db69d251e75db56f36a9717c
QPLIB_10040,ghcr.io/jij-inc/ommx/v2.8/qplib:10040,published,,125,125,0,0,6,sha256:89255ca92901ce75cd9ac3f0b8296a3dbf213cc65a4c4eadc4a8585dcb318b69,sha256:6795aa7d59dc47dbd3ccaa15accea67e4802e8809a34bfc2bf740c1648493750,sha256:8979a62e125ca08e01d4884a4a9a9b170223b35635ed368d06cfb537d5d4c452
QPLIB_10041,ghcr.io/jij-inc/ommx/v2.8/qplib:10041,published,,125,125,0,0,6,sha256:686fb5ba8614e2cfb7b3e7adb02dd48d85e8597a43666bc4a19aee68f0fbe735,sha256:d13f36fff89edeb27d331d7edbc765eec18852ad243c5deace7cd12a05a76d82,sha256:e81b385ef07c01d8eeb55ca13e9a7c0c7f297e61e144e1a250a48e0bedfcd29c
QPLIB_10042,ghcr.io/jij-inc/ommx/v2.8/qplib:10042,published,,125,125,0,0,5,sha256:2626710281f14284d132135b950490e3c7f960b36624d03ad84d760b7900ccd3,sha256:c2957d043aa984de1e957093ffb445b483bfdf55d85002b74c2a2aeec97f2be7,sha256:49f589de7c364c324461762e7cc2ee83d61c060bf82b2e9882771cd6fc39791d
QPLIB_10043,ghcr.io/jij-inc/ommx/v2.8/qplib:10043,published,,150,150,0,0,10,sha256:4142c38adb0f812bb7d6bccb32328e31a93e90383ae9b47922b8d1e614ade209,sha256:f8e3d3059f827818a897ae7f8c57dd1017271d6cd8e131b1284f71e3cedeaa73,sha256:f38112b5567c5653f73e583b627fc6498ee6ae08a8e558407df38de80a05c147
QPLIB_10044,ghcr.io/jij-inc/ommx/v2.8/qplib:10044,published,,150,150,0,0,6,sha256:d9978c98e07d5f70d5bf65e6d211c4ad61f8131a81a5bafc0aa125599f70fa34,sha256:2638b02ae8c6f79449bf214e36c17cd59c26aa9da41e737e06b7d6e18e3ea048,sha256:0bb31fb5a410e2feb477399cced3dd665c6bfb4a8cb35a01403ad7a312ab6f44
QPLIB_10045,ghcr.io/jij-inc/ommx/v2.8/qplib:10045,published,,150,150,0,0,10,sha256:cb21da42bad550e82b2ed74ba24173838c67ccb952a78e0da84c6fdc8cfc85a5,sha256:f3ca6e71e814b3f7084a062b428d0f4f1b7ed22af0eaa0365b07dc5e56fb24d0,sha256:44c9263b343e53e8ffc6187d7bad724067143668aedb57acf4fd6a3367cb0ea6
QPLIB_10046,ghcr.io/jij-inc/ommx/v2.8/qplib:10046,published,,150,150,0,0,6,sha256:1208f8830d389bfb0c3a675bfb8939c7543dcc17fe8f83da9dba8c38eb75171c,sha256:aaeb553e12d2028e7ee46b56e1d6afb76c969716f92a5efca4960166ac55dcfc,sha256:d860b24702af617ae2a19e697d0a8e233538500ac09c3c122607f34cf46777c9
QPLIB_10047,ghcr.io/jij-inc/ommx/v2.8/qplib:10047,published,,150,150,0,0,10,sha256:21481baba296e99c25ad8682b6818c38d152cd2fc4c434d38fac2d41fa2893a1,sha256:0358422c8f65fa9133d079b53ab7e4e88b0dc8263edd430607a47302c9b14f5f,sha256:daab682847c573a0c3a5e85de59802e74a1f129f32aa84822558b0ceb9ef6547
QPLIB_10048,ghcr.io/jij-inc/ommx/v2.8/qplib:10048,published,,150,150,0,0,5,sha256:c549da5ecb7986651c12d04c8d2016b6dbe644dc2863e9ba362f5c79cc59d9b3,sha256:20242d45d7ec69fdc1cf63b870e1a3671552cd23dd8514969815d1467a6e7379,sha256:e8dddd972af66210d2ceaf94baed3491f7a4aac98961cea0b8375dcb870fdb6d
QPLIB_10049,ghcr.io/jij-inc/ommx/v2.8/qplib:10049,published,,150,150,0,0,10,sha256:a97b8a6895101352e3c69982be6e9f4a52210fa4ed9cbe48da0c0c2608565bb1,sha256:94669ef151908758718330d959f0f778f36000f3e9dd3cd958146b776b258226,sha256:da01d5e7bb4599b877dbcbe150467e08720bd5d6918564b26b6364eb03067e5c
QPLIB_10050,ghcr.io/jij-inc/ommx/v2.8/qplib:10050,published,,150,150,0,0,5,sha256:3fc7558284936809a6e29ef1d57be8fe49c5526fde28bc3ea11a945755cd49e4,sha256:af3c538ea8840d6680eded09c0592f94f10de39dc845d07675bba2b72d9bc8fa,sha256:6cb0208f5dca368308a6038885ce7e6fef0c572484536a535ec1bfac22a657ab
