name,status,variables,binaries,integers,continuous,constraints,instance_digest,manifest_digest,detail
a2864-99blp,published,200787,200787,0,0,22117,sha256:9bffc402783315b0fe8c324f48c977315ae10b2397b3ebb8ebe4411fa07daa85,sha256:130ac93d8f248169a6b773b5eaa2940be50d28540187b5d47ab636faa92a69a7,
a2c1s1,published,3648,192,0,3456,3312,sha256:6447b55116cbc8a8266421b25e79d5a12203f4834635d3272a078aff5f85f32a,sha256:9816eac9d775e626bb6cff6b4aa2b1285ae8f8d7dee5a6fc9f8898772eed6989,
ab51-40-100,published,12675,12675,0,0,11893,sha256:85fb583a0373ede4b93da0efd3d3339d5702e7f6b8ecb9138235b0c9c5e4a99a,sha256:0f75a9842ba222379ac9c761e84cde010876c85c8a71649a1e4ab4bfe95d3785,
ab67-40-100,published,12812,12812,0,0,12092,sha256:bf258012d74e8698a42c9ddce1f965651d80894c1c0ffcbe551e3dc0ffadd0b4,sha256:4bf78254f1b3ebdfadb8d2924d4ad8499129dbba7623741cda3168d7be9309d9,
ab69-40-100,published,12622,12622,0,0,11911,sha256:059e5d2ca6b0c2a04290eda6793fd0c5eaa37ae9eaa1661f008da8719360ae81,sha256:6f0284dccebdae081b4a6c50ec714fe1e43e8784974b67fda6e47a48b25e4dda,
ab71-20-100,published,6689,6689,0,0,6380,sha256:bc19bbe895043dd4864589685e1726f8f0a83e04b46e15df03906ae1c53bd114,sha256:ccd272b0acb53138fe5cc4621c4610fbbcb88a3f0af2483ba13b2f5ba967ddfe,
ab72-40-100,published,12370,12370,0,0,11671,sha256:035f94efd157a89a0e7d515e56c8ffdb4dc026421fbb4b689d90c2c2a1dc031d,sha256:046f3adc1eac4aef6c9c22fdb40d4171f59f9d8bf46edf6f8363bf91d8ac3969,
academictimetablebig,published,168974,168974,0,0,167661,sha256:d3878ce7a8d3d209c5d2ccb6356b71ccec2da90cb7e74e5ea3065f9e234a1e35,sha256:cb5bd83dacac6f1693eeebbad565732c1342d719759c1a96990cc8c9acb0ab9d,
academictimetablesmall,published,28926,28926,0,0,23294,sha256:0d6e2129eec37f253bdd454421b75a05d173bd71a626558a1c60974914a7f3dc,sha256:f924d5688d4a35b124ada3c92928b9fba73bcb176a5e4a4d7486dded014c3126,
acc-tight2,published,1620,1620,0,0,2520,sha256:764101da6f2a555191ed5b5bc48e415ff26ea9b817dc5825dbfab14d7a94d090,sha256:3881d9d56045040d2ea802034325d0a2175a1b8b7be0e04724a083fcb0ff34c4,
acc-tight4,published,1620,1620,0,0,3285,sha256:94ac0e7042b23e9745fab36523d8a4a50c984d9b72e9f28a94a125a0e1b8c581,sha256:c8077df21552886c90cfff7a5f601918d1cfeea87c07019a5b2ddaca48ad8d69,
acc-tight5,published,1339,1339,0,0,3052,sha256:33dfad9984ac7ef9e5f00312b5bd8cc1e5a092df226899fc55e46078df8ed1d9,sha256:26986c8f0d97a33976ba0ef94f46e6303a383c9bd72084ea42d1e58a9c2c16c7,
adult-max5features,published,32674,32597,41,36,32709,sha256:92595364a9ad2598d4f97b405ab3b07e705ac77b7704bf9d5dd4838a76c14da3,sha256:56ad6070c98f50ce588398beec7bf0e268ed5a92521998114d44c814e58d5e72,
adult-regularized,published,32674,32597,41,36,32709,sha256:06d345e0a0714e27cc21587d8de6cf47852dee70268b826bdfff281f9e25d03e,sha256:cc262bc422de4f34e176dbad6266978de9159690c91276dab8974f47e1c61343,
aflow30a,published,842,421,0,421,479,sha256:b34c574d03cb005f336aae8d4839cbc2673588fcd15f21c9b554bb4da2103c3a,sha256:a8e61971e667729b9814a9f163b0e7cb4b70f03075f8654a532386cc7747ef0d,
aflow40b,published,2728,1364,0,1364,1442,sha256:d58b24cd7809d371996f68ee5874df94ff464790c9ceaa9d70a7c8d9a6654394,sha256:e97362a4928c7641d9daf1e503c66731d7deff3dcc878de6996a9385726519e3,
air03,published,10757,10757,0,0,124,sha256:725fb40d21b0afe2619e8d34aab5cecbb6968e7cb746a4a8eb29b5fbab3e5497,sha256:52f4b76aff4832611e4b775664c86bb4efb2e196f3b4085d65a22c092ee75cc3,
air04,published,8904,8904,0,0,823,sha256:086ec6a7d208bad228a88ade1fe7245c208777cf5a5de216a2c4e89eeab86128,sha256:c2ce6f2cd2444a7e38e1449babfcecbf0c0db72dc8430071a5ca53bcf6edb0a6,
air05,published,7195,7195,0,0,426,sha256:849290cf833129ade17da44f206c2c7860f9be5fea60a6d334843a3a5fcd6a9a,sha256:efce3f4fe4c036604c82732bb7c874c867970ccf1b5719655e72b98dfdddc791,
aligninq,published,1831,1830,0,1,340,sha256:3fccbb0f3454574e4d6d9b9b15d75500955c942e1d67dc22842ad131ae77558a,sha256:e991d5c0fd17e31bafe28ad8e0a87e51b7a4591e1e4dc0a1d6f037da695cdf0a,
allcolor10,published,14872,476,13776,620,34014,sha256:6d4e8d770e0e97d215b3122070a1303ba2b5d38deebdeb00a43a5d77ed565ca0,sha256:898e19b2489f9fd179a721d36399f1559edf85b5c9efcc6d96d505d9ba4f9d9c,
allcolor58,published,84376,2492,78288,3596,197154,sha256:e56ec89a5d7049a5f3a89c2a5104ea4264ad48ca48a36194e387a4f6d1e6e2da,sha256:acc25cfe8ccfbfb787e25862db9bab827d630346e9c1dec8f6059b315662bcc8,
amaze22012-03-15i,failed,,,,,,,,Invalid header line: INDICATORS
amaze22012-06-28i,failed,,,,,,,,Invalid header line: INDICATORS
amaze22012-07-04i,failed,,,,,,,,Invalid header line: INDICATORS
app1-1,published,2480,1225,0,1255,4926,sha256:1df722a4339690cb0e66e312529cc62e6195e0b2eefd4f6a96639b109e474b61,sha256:55c2b3de193e73f14e2a1de371ef4d253c1ada93541337fe36a5d0bd75f75276,
app1-2,published,26871,13300,0,13571,53467,sha256:5571af18fbdfbd16f68ca73db90d106ce3a5265ae5984db2f17fed7529c98494,sha256:4ee5605acd0bfdfb35cce23da084460f2f72cc047e7bd7eb3ce8f5ca868875aa,
app2-1,published,3283,3283,0,0,1038,sha256:5e3f064343ca501d4461904696c77b9d1792f45dffd75d9280b753faa7693d3f,sha256:6cbf0f1d861e6fb6af5a5b57d613810c94561403b26c56d3636b0b977413515a,
app2-2,published,1226,1226,0,0,335,sha256:5ad471b2ebbe10966cf985e94a264ce33939fffc635410a7bed64b9f806617af,sha256:5965af0c4ecd4a6018630d04b103b01df9ed03de181b2db302a4e92b53a59957,
app3,published,3080,100,0,2980,766,sha256:f7fc175fc1c0e8908bbeb3ef4ed9193d71731e82bdbc50135f1fca3cca7bf04a,sha256:8b766f999c1f39a54a4e81e55391574954dc242e9605f35a5962140d7b54d02d,
arki001,published,1388,442,96,850,1048,sha256:bb84fc02c36ffc1e10039f056fbe65f0d3bdbd5ead7a6c564448e39304778530,sha256:e9441406c58c9121cb14d0e8e1f87960c20cd448cb937e22acc5110260c20bbf,
assign1-10-4,published,572,520,0,52,582,sha256:859e58cd3dbb9cb09eb4ee184e8c915f4bdb003b662ce24c8e51159c939134ec,sha256:dc738aa0179dff8135a1080574163e3698bf3daf7f6913264982b6c4e4c11bef,
assign1-5-8,published,156,130,0,26,161,sha256:eac6101d8622354f90927e7974dd2a92abf0f20db4f945bfe13d665e258580f2,sha256:a2343f601291c2b4575633fa309902e500bebc0f54deb36088d88fd57018754f,
atlanta-ip,published,48738,46667,106,1965,21732,sha256:0af2566b5ca6fb1542a4724b0cf841a0336d74849760400efd614d9f3b45edde,sha256:0e9deeede8a211ffa0d107e6ee6ce84e35625aad9c0efd260ada73361fe9f1f5,
atm20-100,published,6480,2220,0,4260,4380,sha256:8d538ca243c06e0bdc507d9eabdd0880279d1c099110f81370d8806fae7d2234,sha256:8ea126e585f0411a2890f22b6b7408fde6d4bf0fc984f0af38d36bb8e9fb6bc5,
australia-abs-cta,published,49758,918,0,48840,3946,sha256:8463b8a5c863dd267a1a158d713e9812d38ece14df9e61f83a1a9c3e2ea02aa4,sha256:362ad3b3d28890eb57b39956bad89dd5e4e53f0fbb69a4fd6694f67492b06aad,
b-ball,published,100,88,0,12,30,sha256:53490737d9f9d6c5a8cff4ac0b3832e74e7be1b2f5c6de01b5f3f2592988d503,sha256:9334b31a2179646cf26be999176042b94b420ea5fde5f5f497e50bb233b87539,
b1c1s1,published,3872,288,0,3584,3904,sha256:9097a64944d80868baf9269c0b7b142ccd64a328e0a496bdbd1c3a5191d6e19a,sha256:9ae69df6041f64599a0f7b792c571e11005f8217339e72b63249c84061346e26,
b2c1s1,published,3872,288,0,3584,3904,sha256:25b417e1bb26bb5c243292e831efb3e77d8abfa05ad17f7436e1b2a6fdf8b167,sha256:e4089b9158297f1599132aa504d02584646559ab11ea17eb43d1b1922021c5d0,
bab1,published,61152,61152,0,0,60680,sha256:e1fae37c48165ca3046501c90e66933ab921cb183c97bc0f551ee4a2c3f39131,sha256:2d9b7f51a2c6360223cbf6f6c69a3c001a6425ea1a29a9e23c1e9fa77aa467a0,
bab2,published,147912,147912,0,0,17245,sha256:9c8443cdcefa92a2fdfc6d244e62af738cc6b24932890c606357f524c1bf8050,sha256:df50788d9f7b034aa983d5769a870517f95b86d2afa9495f917ed9e4970be39c,
bab3,published,393800,393800,0,0,23069,sha256:12cfd735fdb4306f00e196a611cf3d1248fbf1cd2cabaa09bd4d6b790599d2e6,sha256:9aaaaba83a76d58089383b27bf85dc2068c8d5d2a156dabb09e606f72558451e,
bab5,published,21600,21600,0,0,4964,sha256:9cdb2e9d40e3869eacfc769f19071f65f799d0bc23224d7b79a6fcce3ffe92fe,sha256:753b70329ea526285e00e432763116c80dd03e6a27246d546342ba19406e6738,
bab6,published,114240,114240,0,0,29904,sha256:280ddfba77941a47a751cc105d23c6943b37682d50803506e00dd136613eea8e,sha256:0ff8d126c66da1f299e9eb3bac831c87b4fda4ca3ed1ec731c5fb67dce81c74d,
bc,published,1751,483,0,1268,1913,sha256:2422da8260587098995b35cd51eb61de515b3d5b68b108c05f2166fb2e6bb4a5,sha256:9bd7ab80ccc698546c8bed6e5ba6d71452ede0982bc2afe5d438b0f865c021f7,
bc1,published,1751,252,0,1499,1913,sha256:ba502289b79d40375c89a69cd2d019641741ad67a318eb14aa0fe317c11f8840,sha256:87af537e726c8dff910776c8b9b8a89532da4cab002646a12b43d11caedec85c,
beasleyC1,published,2500,1250,0,1250,1750,sha256:ee2532dcc70ba2a0e451c9c5ae1f5adca757efff8d1789b189c8e8fb676250c5,sha256:6313eb1fc9b4e6f28a5dbf4a117cc50e5afa3b3bffb4f1ce4484ed17e5a484fe,
beasleyC2,published,2500,1250,0,1250,1750,sha256:b921cfeed1c7405b4cf71150ff5ec9c979a773dedb6704282fef2ed24a6e0f45,sha256:e4ad7c24e0c3b99fadcaf9e199d1329ebf9e5535e47fb9d9995f0f1c4e7ee07b,
beasleyC3,published,2500,1250,0,1250,1750,sha256:1f95d00feae4b49f88c90ba3735f572ad58a5fc61b9221445e3e3c4d8c7646de,sha256:cde51886ed91becc51203d367aa22d9f2eb6bbecd982c824475cf5bc0ea35585,
beavma,published,390,195,0,195,372,sha256:5072bde7408fcbc993a94e49057eb1003c17d962831dd07cb44e49cd5f310eea,sha256:e3cabaf93be1cedb94fd8be3b889d7d935834df601ee08536d6e63059ba085d7,
berlin,published,5304,2652,0,2652,2704,sha256:236f2bc0e9cbd467b2d5929a480fb53dfd6d31b2e374a83e3f6a0994709b6dee,sha256:a6db362a34110030e7e9531d5418c88f2fa4170644492637e1d2fa9dd6060722,
berlin_5_8_0,published,1083,794,0,289,1532,sha256:3bf555e9f12ba021dd5af0b832cc33f1761e774b87c416b593fdfdda7a318368,sha256:d5cd919893c56e36fb24e621faa53b954d999ee62c8146772d460c5032083bc3,
bg512142,published,792,240,0,552,1307,sha256:32b48357b4064761503d9ea1f750e07ed15aec3a547d6163e0a056d1feb18400,sha256:f53869b1c82bdb6e6c9f2287ff7d7238c5c10ffcff93b2aec1eeb2e092efc31c,
bharat,published,590519,122614,0,467905,1299953,sha256:e7f7dbf89e3c3a18513b0e4eee453d2b6b6c340a606fdbfcd2c6281fe4262d2c,sha256:5ee62cb3b4fd6752a1fe72b6cc384a167d5525078303b6159b8091b15559867d,
biella1,published,7328,6110,0,1218,1203,sha256:e17a33df964df50943d8f603c58a35f28af0e421d89129d490ac63eb13c078ed,sha256:d35334eebaa1c903bee6e0e489ed0931bc9b3440d0d45a8b83fd465492951036,
bienst1,published,505,28,0,477,576,sha256:13f23ce58b93b070d29a9cf1bffe52c1079c071edfd5e56c3a182be270f0c92a,sha256:c3ba775df7dce2cd5aeff19daec93d1743d35eef6ee90bd091490ac6026e9311,
bienst2,published,505,35,0,470,576,sha256:4912da208d31a0557057abe394793e5d24378d70b6805bdaca54562660b276fc,sha256:2b6565e1eba96101315590c09365b26b5b816a8079cf0c8d4356f646812fcc32,
binkar10_1,published,2298,170,0,2128,1026,sha256:f819884a463f993d4f276809406efb0870392f9e8d9443f3fc5eca36cb032132,sha256:feca979f11b7046a79b0db0d1c82abdc538553f10270524d9843879593618e91,
blend2,published,353,239,25,89,274,sha256:6798cc05f87b618ebcbcae79e9cb4614064e20b39266ddfc7b8c626cf9b873ff,sha256:8f0a2ffda8b66a6be31d3e9d68739295ae944948bd1a02f4bf271030587b65bb,
bley_xl1,published,5831,5831,0,0,175620,sha256:653061b005a2c29f7b6f060ae5d58b3326b08f549a9638fc106b4685c80e5c60,sha256:74feb523b9187cb344900a0316f1089041a7de9d7b45780d397fea5994a73a8a,
bley_xs1,published,3243,2360,883,0,3290,sha256:3006cb46469378e7001a281dab8c40a3cf6310b6061653f23024def7e2bb44a5,sha256:1a0f1f07b23a19b22f50306cd3322ab6795bb2745cdb8fbdb58637ffc19925be,
bley_xs1noM,published,3243,2360,883,0,3290,sha256:87d102c1f7838d83658a6f6a9bd1347a1231598073ff3d819e385f41378c9141,sha256:e16879a6a10b1274e40f6987ee56d6a983302c48402f95c962b72132a19ab901,
bley_xs2,published,2515,1632,883,0,2257,sha256:84221d9a240c75fdaf178294667d411427506154d38d5d2d6fff40b03424d1b5,sha256:e3e27ac1eb17e85cdbd0809166edf84a8f2d8173118a3ab7368edb0e17c66445,
blp-ar98,published,16021,15806,0,215,1128,sha256:27229835c7e0e46ab31d73e439dfa967aa915b7956518906020498b1e2c40f30,sha256:8f1fe063e4ac614fa8799e563474e993590490ba87b2793dcaa995fa194e8605,
blp-ic97,published,9845,9753,0,92,923,sha256:f18d9e6a0043796f59add2bc9dc0d3cbb1cad0cad523ccbfd5eeef9a4593b963,sha256:66310c23dae0db69d15f538afeebfe109e149d85c5367e55eb73575fd5d2c7b8,
blp-ic98,published,13640,13550,0,90,717,sha256:9705bc54025b0ae26f3e3263c050f58eed40a1cd671b3838c58e9670ffc3c12b,sha256:59991b1c38dc5b75ea6ac4d1328b425ea2da39f43dcc2f6c0ae717552e87463d,
blp-ir98,published,6097,6031,0,66,486,sha256:811e34c2567cdd892340261a5f1e2a2ddfd6703b3334e25bc3740ac3b6e443e1,sha256:1afe6ebfa7746b96c4f504f6fbf0211adaebbf8e2a49a1d7de2bd2992820eb60,
bmocbd,published,404875,125752,0,279123,153324,sha256:7b20f8fd5e2a5086b4efc27ae592531d04b039f35123f30253f8a57cee0d2265,sha256:d89295bcc0f5e0cf3a1ab66f18962ef306006504a3bd1d26e7c00b6236050af0,
bmocbd2,published,403771,125467,0,278304,152791,sha256:d008e264437032cfe00a1899ea5c4bfcb55fd5a1a59bc1d29f4bfc1533965a43,sha256:c5c4a17fb2a044c9b7b859dcc636cac1cbaaf73837b01c1c75217171f70e4f95,
bmocbd3,published,403771,125467,0,278304,152791,sha256:02f02ff1ff85462f6822496247a4ef40d9f7e5c2739c8c12a53d5fd7cee047e5,sha256:99f0e3b8d9b0ea9eb14db83083ecc58d5703b35831ec662d2b34efd32db2c6ba,
bmoipr2,published,20503,8434,0,12069,13897,sha256:5e689548d136ad2b0799b584c1bb0b3d7788c46c527d9968065229b1cce617fa,sha256:5451e670cd3df9ea855142a626aee7b7c7fb37f1f10f72354eecb9801fe1f63a,
bnatt400,published,3600,3600,0,0,5614,sha256:702df01d0a61e162527c849f72a261400b7e9a1269c45aa4f4e35a656abb1c9b,sha256:97e91a9717c4cd90f8d4631d188f880000056ed8d28302a42a746e94f254465a,
bnatt500,published,4500,4500,0,0,7029,sha256:075df40c11faa69b4af25ec6306b584678258679cde51f53e3f689b771b21daa,sha256:3eb4da9f56e32f9d63a84fe91c4675a4823553a4d59fe999baf18e88ce52122c,
bppc4-08,published,1456,1454,0,2,111,sha256:dae621931b92fbcf4fa9986a8eab506df56688cdfbda4b9697fd19a8459f8c98,sha256:b64ddae8c2cd73571bacdf6d93a04bbb02c4f911220e0ffa0577aee76974d0aa,
bppc6-02,published,4784,4782,0,2,309,sha256:834a0d73c26d0327ffa3e66f9594f6d636c00cc5828d889f24596c7ff49ec8e9,sha256:ee88f4c16890ef56c69a889f34cdc54d2382a83c27b407104c8c26d012ea146a,
bppc6-06,published,3922,3920,0,2,273,sha256:5734ab38bb8116ffbe958cd562b3905cae7526315dc0ae51e3c58f3a0c195abe,sha256:5aa4f09818716fb0fa80ed60c9646db5c9bcdbddab7209e9493e7382589ff3f6,
bppc8-02,published,232,229,1,2,59,sha256:ef9d0ed1a49b18eb357e514fac76ce1538d8beed707ec7aac2df8b40872f52d5,sha256:806e5f248e4f1214121c5690bacbb0dcffc88d371e793237a6e5b4fe86551dbe,
bppc8-09,published,431,423,6,2,67,sha256:fc653835c4c2ee8fa955ce7094132ed233efb017b7d90f0fb7d5890d7dea0dd1,sha256:873d3b76f080b1b481ebc7420fbd66eadc3a0819d73d344f5b13f9765e6a5c3a,
brasil,published,6612,3306,0,3306,3364,sha256:51fd71b4ae277757ce759924dbb87f174da457b3adaa80d8b3af4cb6dd569773,sha256:8793a05ff506e75a258bd26a705c5e9d403be1a38abdff27949f6f61f92c64c5,
brazil3,published,23968,23874,94,0,14646,sha256:8690c41d70b31fa8acc9b171b79477f355e1e7a4ddf046c3630b6df65796fdf6,sha256:2a9f45693ba75f2e373c6db3647ce00626d752ca5c97bbb21d78cf8fc82a55e7,
breastcancer-regularized,published,715,692,14,9,723,sha256:506855bdfb98be144c06cb80d2e6af2c8ee8c2a73e372a533fd39d0ff45ab534,sha256:94a32f676d0de16283704eabd14c1cd6c252bb22f4bb2c377ac8f091e1470cc3,
bts4-cta,published,75400,2260,0,73140,45350,sha256:f5abbaa93c72a68034e99973cadb9b57127520fbd3deeeaf519ed0fdede81785,sha256:09c6af0923687e12c0156cdc3acd202f73671ced289dd1f53ca0ffc64c16ccff,
buildingenergy,published,154978,0,26287,128691,277594,sha256:f952429a8ee0c82817968d613aa09fc3a731d57d4b5f1b656fc57579760a1352,sha256:5b75bd73f0bafc4847c2e0b8961b3a1ef7fd60718297f37fe32d77bb289600c6,
cap6000,published,6000,6000,0,0,2176,sha256:5efc6b923e84ecdf4c193308160d4f79e4541347002405625fd4a381022a91ff,sha256:425c61b2875a0b544ae1ace2def589ab1409f0f2a6c2342521813b8a37e37171,
cbs-cta,published,24793,2467,0,22326,10112,sha256:c2784fe6395f9786456d0ac32d74dfa13de714db1408f7acc13ae89fe9e8a610,sha256:2c1a7ddb02edd3283bfa799d17047cec84792ad94d74c350df8910e64d653c83,
cdc7-4-3-2,published,11811,11811,0,0,14478,sha256:f608ffe66f76b190b0c8d4b3853d5a6b859e4eb61783dcda825b4bcda8c22c3b,sha256:0ecede6bad1add01fe47783c09b5be8fdf5d60b852cf5ae95db773c521500e0d,
cdma,published,7891,4235,0,3656,9095,sha256:591ae48871a92a53772c0fe760d03bbc3c6de8fcf460c45536767d8d74a722bb,sha256:049614ef2f90e73be4cc05f5551ad61d8a5bb22357c0194f2f493d40a7ff46f9,
chromaticindex1024-7,published,73728,73728,0,0,67583,sha256:b64b314a63cbb30adafb7bde89b32ad3a29773c75b229a342a04190861c242cd,sha256:0e9b8f38b7c1bedd2c4b950bce9a6f348666c529d52c730dce2162e05c7cb541,
chromaticindex128-5,published,9216,9216,0,0,8447,sha256:f7d04115eea4b4e3529e06de545de0b4432c2b41872fabb686f642e8b94f1625,sha256:cd991ab38f7e10effdbae62d032cb704b9398c250801e32b7a2314609f949f2f,
chromaticindex256-8,published,18432,18432,0,0,16895,sha256:42bfbca74e88a5d2178a05c97c8627ffd9d0ebc2c7038d4623fe7185bd4260a7,sha256:c498817d004b41a34cab1494a502e9b5fb9590418c50c3d8720d4796b4cb7fce,
chromaticindex32-8,published,2304,2304,0,0,2111,sha256:b96f1b9ba73316d41d297d6bd47d95696ac28555d498d57ea29187b407b0411a,sha256:02eefceee4fa668ee9892f7289056d6c1cc8558b8326f748a93d48ceccf504ca,
chromaticindex512-7,published,36864,36864,0,0,33791,sha256:df59a99f3ffb2d9c80159cc711050ef32263a817eb7af3853c9fade6658c4d7d,sha256:45dc93f2b939f969e478feda9f52468481ec7673253898ac4f3ead1aba72c609,
ci-s4,published,745,355,150,240,26159,sha256:a66650972b6e5f63a95408bd773c0c4e71645643d617796832da986f2617e1e1,sha256:3af3dc40eb87152642c1a2243a160118429a275645c4924d6759effbd4c61c2e,
circ10-3,published,2700,2700,0,0,42620,sha256:29270a9d3334379881c7eaba40672e7b5f0a14b4b924dc18c342d4e9398a558a,sha256:9674d7e5604a0ec125660dea7ed5a0d981b2eebf0b3ed86c66f57bc80edbcbf6,
cmflsp40-24-10-7,published,13200,1200,0,12000,2825,sha256:bf12d5642506f7ac1240c0c2ec1039f39f96eb7bba3f330be3264c2f2a9ef3d7,sha256:2ed88c5520b8a498f823613279864313e398657ddacbedf648c29ee08a42e3ad,
cmflsp40-36-2-10,published,28152,1512,0,26640,4266,sha256:03c63286b9f4fe6699c1169fcd86e8bb98756f58c5b570a8ffccd54465a69a8b,sha256:4e0aaaea9c5d7925905c261e8193cdcf49eb03c93a8e764ccf39ea3a65e0b8fe,
cmflsp50-24-10-4,published,16440,1440,0,15000,3527,sha256:5d6d4092f87dcf1582bca1dd21c06b858ef4d04fae2986c711a041425e2edfc8,sha256:5ba0752e9718cf62c7000656fe72ed5897122c19ad06d8d679f1032c47b8e146,
cmflsp50-24-8-8,published,16392,1392,0,15000,3520,sha256:a087d4c5dda6d7bb6983b0cd70b2c06fdd96f1a842e184d78850f487091acc3a,sha256:b73a3c81368e6ee1c5a4fa7a75cd40029b8de9e5e3c74f039bb819af338bf766,
cmflsp60-36-2-6,published,42192,2232,0,39960,6388,sha256:d37ab81f71796bb5c6aba5c8c7fb597f6fc118f256d604d3e775ab0452feed62,sha256:d97777df1096e71daa3e82a79d0c0adc8be058027d8e008112ffaae7bed63bf3,
co-100,published,48417,48417,0,0,2187,sha256:70a55e4ed8dc4a73c22d11f3f63a77a1acc8d166a2bd99bff237963037e47dcc,sha256:6727703da8d267aaa2517bbaa6bb893e9d16d8584d149ad1f8904584d820a6e5,
cod105,published,1024,1024,0,0,1024,sha256:96a0d76dfa94adf878d32d53421c22275fc6c22b6c194aa89ccdccea77bbf976,sha256:bb130128f7b27a8e7e283c52ed97261d9dd539df7ea84d78bb82b0f73cdec949,
comp07-2idx,published,17264,17155,109,0,21235,sha256:7b04d6c6ac3559095ebb344625b84a2205233b1ca09e08b4257a11a3fa7b60c0,sha256:21a71a5959c31183585b3900730d205be6db6bc852d90f4a82e997887dd1dadc,
comp08-2idx,published,11554,11487,67,0,12536,sha256:b536a40c1807e3bca2c20409e5c1f7a3df0a29f205006bea35f12656e67221ad,sha256:b227e3bba6a898196ba15f49aecd4c4fffa6521d8a9e38a2e98d85c7aa7d4bd4,
comp12-2idx,published,11863,11820,43,0,16803,sha256:90b30cda097d2e09084d6254b7ea5c48284c456c028ef4b0b446826fe77c42f3,sha256:fac75a16f1caf7c8284d03246da271065fc6dc1808fb166faf886e25783a774b,
comp16-3idx,published,64193,56745,14,7434,71594,sha256:11d1e1bc0af35edf6f36095997da76c6541f3cbe9ca22b0a54507a1527b2d7a6,sha256:2ed46081927d0fd723bbf6c876d3655115721131f744f35591c98b859f0e1d73,
comp21-2idx,published,10863,10792,71,0,14038,sha256:ccc742475c4b341ca81eec28fb8fba7cd0874b80cb2ebaea19a4687fdfba3675,sha256:76047aabdc5cdc2565b7cd6aa57e44009b98d07bcf1efeb545c951e08dd2fa0b,
